A*01:01:01:01	B*07:02:01:01	C*01:02:01:01	E*01:01:01:01	F*01:01:01:01	G*01:01:01:01
A*01:01:01:02N	B*07:02:01:02	C*01:02:01:02	E*01:01:01:02	F*01:01:01:02	G*01:01:01:02
A*01:01:01:03	B*07:02:01:03	C*01:02:01:03	E*01:01:01:03	F*01:01:01:03	G*01:01:01:03
A*01:01:01:04	B*07:02:01:04	C*01:02:01:04	E*01:01:01:04	F*01:01:01:04	G*01:01:01:04
A*01:01:01:05	B*07:02:01:05	C*01:02:01:05	E*01:01:01:05	F*01:01:01:05	G*01:01:01:05
A*01:01:01:06	B*07:02:01:06	C*01:02:01:06	E*01:01:01:06	F*01:01:01:06	G*01:01:01:06
A*01:01:01:07	B*07:02:01:07	C*01:02:01:07	E*01:01:01:07	F*01:01:01:07	G*01:01:01:07
A*01:01:01:08	B*07:02:01:08	C*01:02:01:08	E*01:01:01:08	F*01:01:01:08	G*01:01:01:08
A*01:01:01:09	B*07:02:01:09	C*01:02:01:09	E*01:01:01:09	F*01:01:01:09	G*01:01:01:09
A*01:01:01:10	B*07:02:01:10	C*01:02:01:10	E*01:01:01:10	F*01:01:01:10	G*01:01:01:10
A*01:01:01:11	B*07:02:01:11	C*01:02:01:11	E*01:01:01:11	F*01:01:01:11	G*01:01:01:11
A*01:01:01:12	B*07:02:01:12	C*01:02:01:12	E*01:01:01:12	F*01:01:01:12	G*01:01:01:12
A*01:01:01:13	B*07:02:01:13	C*01:02:01:13	E*01:01:01:13	F*01:01:01:13	G*01:01:01:13
A*01:01:01:14	B*07:02:01:14	C*01:02:01:14	E*01:01:01:14	F*01:01:01:14	G*01:01:01:14Q
A*01:01:01:15	B*07:02:01:15	C*01:02:01:15	E*01:01:01:15	F*01:01:01:15	G*01:01:02:01
A*01:01:01:16	B*07:02:01:16	C*01:02:01:16	E*01:01:01:16	F*01:01:01:16	G*01:01:02:02
A*01:01:01:17	B*07:02:01:17	C*01:02:01:17	E*01:01:01:17	F*01:01:01:17	G*01:01:02:03
A*01:01:01:18	B*07:02:01:18	C*01:02:01:18	E*01:01:01:18	F*01:01:01:18	G*01:01:02:04
A*01:01:01:19	B*07:02:01:19	C*01:02:01:19	E*01:01:01:19	F*01:01:01:19	G*01:01:03:01
A*01:01:01:20	B*07:02:01:20	C*01:02:01:20	E*01:01:01:20	F*01:01:01:20	G*01:01:03:02
A*01:01:01:21	B*07:02:01:21	C*01:02:01:21	E*01:01:01:21	F*01:01:01:21	G*01:01:03:03
A*01:01:01:22	B*07:02:01:22	C*01:02:01:22	E*01:01:01:22	F*01:01:01:22	G*01:01:03:04
A*01:01:01:23	B*07:02:01:23	C*01:02:01:23	E*01:01:01:23	F*01:01:02:01	G*01:01:04
A*01:01:01:24	B*07:02:01:24	C*01:02:01:24	E*01:01:01:24	F*01:01:02:02	G*01:01:05
A*01:01:01:25	B*07:02:01:25	C*01:02:01:25	E*01:01:01:25	F*01:01:02:03	G*01:01:06
A*01:01:01:26	B*07:02:01:26	C*01:02:01:26	E*01:01:01:26	F*01:01:02:04	G*01:01:07
A*01:01:01:27	B*07:02:01:27	C*01:02:01:27	E*01:01:01:27	F*01:01:02:05	G*01:01:08
A*01:01:01:28	B*07:02:01:28	C*01:02:01:28	E*01:01:01:28	F*01:01:02:06	G*01:01:09
A*01:01:01:29	B*07:02:01:29	C*01:02:01:29	E*01:01:01:29	F*01:01:02:07	G*01:01:11
A*01:01:01:30	B*07:02:01:30	C*01:02:01:30	E*01:01:01:30	F*01:01:02:08	G*01:01:12
A*01:01:01:31	B*07:02:01:31	C*01:02:01:31	E*01:01:02	F*01:01:02:09	G*01:01:13
A*01:01:01:32	B*07:02:01:32	C*01:02:01:32	E*01:01:03	F*01:01:02:10	G*01:01:14
A*01:01:01:33	B*07:02:01:33	C*01:02:01:33	E*01:01:04	F*01:01:02:11	G*01:01:15
A*01:01:01:34	B*07:02:01:34	C*01:02:01:34	E*01:01:05	F*01:01:02:12	G*01:01:16
A*01:01:01:35	B*07:02:01:35	C*01:02:01:35	E*01:01:06	F*01:01:04	G*01:01:17
A*01:01:01:36	B*07:02:01:36	C*01:02:01:36	E*01:01:07	F*01:01:05	G*01:01:18
A*01:01:01:37	B*07:02:01:37	C*01:02:01:37	E*01:01:08	F*01:02	G*01:01:19
A*01:01:01:38	B*07:02:01:38	C*01:02:01:38	E*01:01:09	F*01:03:01:01	G*01:01:20
A*01:01:01:39	B*07:02:01:39	C*01:02:01:39	E*01:01:10	F*01:03:01:02	G*01:01:21
A*01:01:01:40	B*07:02:01:40	C*01:02:01:40	E*01:01:11	F*01:03:01:03	G*01:01:22:01
A*01:01:01:41	B*07:02:01:41	C*01:02:01:41	E*01:01:12	F*01:03:01:04	G*01:01:22:02
A*01:01:01:42	B*07:02:01:42	C*01:02:01:42	E*01:01:13	F*01:04:01:01	G*01:01:22:03
A*01:01:01:43	B*07:02:01:43	C*01:02:01:43	E*01:01:14	F*01:04:01:02	G*01:01:22:04
A*01:01:01:44	B*07:02:01:44	C*01:02:01:44	E*01:01:15	F*01:05	G*01:01:23
A*01:01:01:45	B*07:02:01:45	C*01:02:01:45	E*01:01:16	F*01:06	G*01:01:24
A*01:01:01:46	B*07:02:01:46	C*01:02:01:46	E*01:01:17		G*01:01:25
A*01:01:01:47	B*07:02:01:47	C*01:02:01:47	E*01:01:18:01		G*01:02
A*01:01:01:48	B*07:02:01:48	C*01:02:01:48	E*01:01:18:02		G*01:03:01:01
A*01:01:01:49	B*07:02:01:49	C*01:02:01:49	E*01:01:19		G*01:03:01:02
A*01:01:01:50	B*07:02:01:50	C*01:02:02	E*01:01:20		G*01:04:01:01
A*01:01:01:51	B*07:02:01:51	C*01:02:03	E*01:01:21		G*01:04:01:02
A*01:01:01:52	B*07:02:01:52	C*01:02:04	E*01:01:22		G*01:04:01:03
A*01:01:01:53	B*07:02:01:53	C*01:02:05	E*01:01:23		G*01:04:01:04Q
A*01:01:01:54	B*07:02:01:54	C*01:02:06	E*01:01:24		G*01:04:02
A*01:01:01:55	B*07:02:01:55	C*01:02:07	E*01:01:25		G*01:04:03
A*01:01:01:56	B*07:02:01:56	C*01:02:08	E*01:01:26		G*01:04:04
A*01:01:01:57	B*07:02:01:57	C*01:02:09	E*01:01:27		G*01:04:05
A*01:01:01:58	B*07:02:01:58	C*01:02:10	E*01:01:28		G*01:04:06
